Mon Nov 11 17:34:01 2024    output.prof

         19163925 function calls (17691946 primitive calls) in 45.691 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2676/22    0.001    0.000    0.105    0.005 /home/rikka/anaconda3/envs/RL/lib/python3.10/importlib/__init__.py:108(import_module)
  2678/22    0.001    0.000    0.105    0.005 <frozen importlib._bootstrap>:1038(_gcd_import)
     9937    0.103    0.000    0.103    0.000 {built-in method torch.argmax}
   139810    0.100    0.000    0.100    0.000 {built-in method torch._C._set_grad_enabled}
   238098    0.081    0.000    0.099    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:2731(named_children)
     9937    0.099    0.000    0.099    0.000 {built-in method torch.sum}
     9937    0.097    0.000    0.097    0.000 {built-in method torch.abs}
    12412    0.096    0.000    0.096    0.000 {built-in method torch.ones_like}
     9937    0.094    0.000    0.094    0.000 {built-in method torch.pow}
        1    0.000    0.000    0.094    0.094 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/polyfills/loader.py:1(<module>)
        6    0.000    0.000    0.094    0.016 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/polyfills/loader.py:22(<genexpr>)
   196080    0.074    0.000    0.094    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/compiler/__init__.py:292(is_compiling)
        1    0.000    0.000    0.093    0.093 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/fsdp/_shard_utils.py:1(<module>)
        8    0.000    0.000    0.093    0.012 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/decorators.py:245(wrapper)
        1    0.000    0.000    0.093    0.093 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/tensor/__init__.py:1(<module>)
        1    0.000    0.000    0.093    0.093 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/tensor/_ops/__init__.py:1(<module>)
        1    0.000    0.000    0.092    0.092 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/polyfills/builtins.py:1(<module>)
      282    0.000    0.000    0.092    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/dataclasses.py:1174(wrap)
        1    0.001    0.001    0.092    0.092 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2854(get_torch_obj_rule_map)
      282    0.006    0.000    0.092    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/dataclasses.py:881(_process_class)
        1    0.000    0.000    0.091    0.091 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/polys/__init__.py:1(<module>)
     2651    0.002    0.000    0.090    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2883(load_object)
    10001    0.009    0.000    0.090    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/vec_env/dummy_vec_env.py:112(_obs_from_buf)
   134094    0.089    0.000    0.089    0.000 {built-in method torch.is_complex}
    57513    0.081    0.000    0.088    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:75(__init__)
   140087    0.063    0.000    0.088    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/parameter.py:10(__instancecheck__)
      964    0.004    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    12417    0.011    0.000    0.086    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/cuda/__init__.py:112(_nvml_based_avail)
    24824    0.054    0.000    0.084    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/autograd/profiler.py:721(__init__)
     2475    0.083    0.000    0.083    0.000 {built-in method torch._foreach_norm}
        1    0.000    0.000    0.083    0.083 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/tensor/_ops/_conv_ops.py:1(<module>)
